Timecode List:,00:00:00.434,00:05:33.333,00:11:01.494,00:15:19.952,00:18:25.504,00:23:47.893,00:26:56.582,00:30:11.943,00:37:47.298
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,13,00:00:00.434,0.434,13,00:00:00.434,0.434
2,13,00:00:00.434,0.434,9990,00:05:33.333,333.333,9977,00:05:32.899,332.899
3,9990,00:05:33.333,333.333,19825,00:11:01.494,661.494,9835,00:05:28.161,328.161
4,19825,00:11:01.494,661.494,27571,00:15:19.952,919.952,7746,00:04:18.458,258.458
5,27571,00:15:19.952,919.952,33132,00:18:25.504,1105.504,5561,00:03:05.552,185.552
6,33132,00:18:25.504,1105.504,42794,00:23:47.893,1427.893,9662,00:05:22.389,322.389
7,42794,00:23:47.893,1427.893,48449,00:26:56.582,1616.582,5655,00:03:08.689,188.689
8,48449,00:26:56.582,1616.582,54304,00:30:11.943,1811.943,5855,00:03:15.362,195.362
9,54304,00:30:11.943,1811.943,67951,00:37:47.298,2267.298,13647,00:07:35.355,455.355
10,67951,00:37:47.298,2267.298,78568,00:43:41.552,2621.552,10617,00:05:54.254,354.254
